,source_idx,source_name,issn,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,works_count,cited_by_count,wos_journal_name,wos_categories,topic_count,subfield_name,field_name,econ_bus_density,econ_score,bus_score,field_eb
333,187626162,Entrepreneurship Theory and Practice,1042-2587,Entrepreneurship: Theory and Practice,['3505' '3507'],Entrepreneurship Theory and Practice,Entrep,1818,303691,ENTREPRENEURSHIP THEORY AND PRACTICE,['BUSINESS'],1105,Management of Technology and Innovation,"Business, Management and Accounting",1.0,0,5,B
334,15356059,Review of Political Economy,0953-8259,Review of Political Economy,['3502' '3801' '3803'],,,1815,21591,REVIEW OF POLITICAL ECONOMY,['ECONOMICS'],932,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",0.7887269938650306,4,1,E
335,945769174,Revue d économie politique,0373-2630,Revue d'Economie Politique,['3801'],,,1812,6373,REVUE D ECONOMIE POLITIQUE,['ECONOMICS'],228,Urban Studies,Social Sciences,0.5324232081911263,2,0,E
336,62142384,Journal of Accounting and Economics,0165-4101,Journal of Accounting and Economics,['3501' '3502' '3801'],Journal of Accounting and Economics,F&A,1805,379574,JOURNAL OF ACCOUNTING & ECONOMICS,"['ECONOMICS' 'BUSINESS, FINANCE']",1066,Accounting,"Business, Management and Accounting",1.0,3,4,A
337,105799767,European Journal of the History of Economic Thought,0967-2567,,,European Journal of the History of Economic Thought,Economics,1804,11834,European Journal of the History of Economic Thought,['ECONOMICS'],856,Economics and Econometrics,"Economics, Econometrics and Finance",0.7813604240282686,3,0,E
338,2738355984,Administrative Sciences,2076-3387,,,,,1797,25326,Administrative Sciences,['MANAGEMENT'],267,Management of Technology and Innovation,"Business, Management and Accounting",0.8713942307692307,0,2,B
339,136661304,Managerial Auditing Journal,0268-6902,Managerial Auditing Journal,['3501'],Managerial Auditing Journal,F&A,1797,63311,Managerial Auditing Journal,"['MANAGEMENT' 'BUSINESS, FINANCE']",907,Accounting,"Business, Management and Accounting",1.0,2,3,A
340,94775995,European Business Review,0955-534X,European Business Review (Bingley),['3506' '3507'],European Business Review,Gen & Strat,1794,65905,European Business Review,['BUSINESS'],195,Strategy and Management,"Business, Management and Accounting",1.0,0,5,B
341,145875555,Journal of Empirical Finance,0927-5398,Journal of Empirical Finance,['3502' '3801'],Journal of Empirical Finance,F&A,1792,79926,Journal of Empirical Finance,"['ECONOMICS' 'BUSINESS, FINANCE']",863,Finance,"Economics, Econometrics and Finance",1.0,4,2,A
342,35298862,Journal of Macromarketing,0276-1467,Journal of Macromarketing,['3506'],Journal of Macromarketing,Marketing,1786,39884,Journal of Macromarketing,['BUSINESS'],314,Marketing,"Business, Management and Accounting",0.7842046718576196,0,4,B
343,166797808,International Journal of Indian Culture and Business Management,1753-0806,,,,,1776,4130,International Journal of Indian Culture and Business Management,['BUSINESS'],113,Marketing,"Business, Management and Accounting",0.6090225563909775,0,2,B
344,34139249,The RAND Journal of Economics,0741-6261,RAND Journal of Economics,['3801' '3802' '3803'],RAND Journal of Economics,Economics,1761,201737,RAND JOURNAL OF ECONOMICS,['ECONOMICS'],497,Economics and Econometrics,"Economics, Econometrics and Finance",0.7506426735218509,6,0,E
345,190363454,Organizational Behavior Teaching Review,1052-5629,,,Journal of Management Education,Education,1759,37351,,,581,Management of Technology and Innovation,"Business, Management and Accounting",0.7788778877887789,0,1,X
346,22431819,International Economic Journal,1016-8737,International Economic Journal,['3801' '3802' '3803'],,,1759,15963,INTERNATIONAL ECONOMIC JOURNAL,['ECONOMICS'],601,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",1.0,5,0,E
347,53726244,Journal of Managerial Psychology,0268-3946,,,Journal of Managerial Psychology,"OS/OB,HRM/IR",1753,105751,Journal of Managerial Psychology,['MANAGEMENT'],818,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",0.6348684210526315,0,3,B
348,980556082,Agricultural Economics (Zemědělská ekonomika),0139-570X,,,,,1748,14728,Agricultural Economics-Zemedelska Ekonomika,['ECONOMICS'],355,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,0.47266313932980597,1,0,X
349,145471836,Explorations in Economic History,0014-4983,,,Explorations in Economic History,Economics,1746,44095,EXPLORATIONS IN ECONOMIC HISTORY,['ECONOMICS'],539,Economics and Econometrics,"Economics, Econometrics and Finance",0.8419117647058824,3,0,E
