unique_issn_list,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,wos_journal_name,wos_abbreviation,wos_categories,scopus_journal_name,scopus_asjc
[0103-2003],,,,,,,,Revista de Economia e Sociologia Rural,[2000]
"[1010-8831, 1782-1525]",,,,,,,,Revue Internationale de Droit Economique,"[2000, 1400]"
"[0393-3415, 2612-1026]",,,,,,,,Rivista di Storia Economica,[2000]
"[2239-1959, 2239-7221]",,,,,,,,Rivista di Studi sulla Sostenibilita,"[2000, 1400]"
[0163-5840],,,,,,,,SIGIR Forum (ACM Special Interest Group on Information Retrieval),[1400]
[2662-9399],,,,,,,,SN Business and Economics,[1400]
"[1523-9225, 1523-0481]",,,,,,,,Soap and Cosmetics,[1400]
"[2194-6299, 2151-7509]",,,,,,,,"Statistics, Politics and Policy",[2000]
"[0707-8552, 1918-7033]",,,,,,,,Studies in Political Economy,[2000]
[1535-7740],,,,,,,,T and D,[1400]
"[1846-6168, 1848-5588]",,,,,,,,Tehnicki Glasnik,[1400]
[0492-5882],,,,,,,,Tekstil,[1400]
"[0018-7828, 2064-8251]",,,,,,,,Teruleti Statisztika,[2000]
"[2630-0931, 2651-0529]",,,,,,,,Thailand and the World Economy,"[2000, 1400]"
[0954-478X],,,,,,,,TQM Magazine,[1400]
[2949-8996],,,,,,,,Transport Economics and Management,"[2000, 1400]"
[1294-6303],,,,,,,,"Travail, Genre et Societes","[2000, 1400]"
"[2071-8160, 2541-9099]",,,,,,,,Vestnik MGIMO-Universiteta,[1400]
"[0947-0085, 2511-0896]",,,,,,,,ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,[1400]
"[0972-222X, 2277-7725]",Delhi Business Review,[3505],,,,,,,
[1534-9276],Perspectives on Work,"[3505, 3507]",,,,,,,
"[1751-0457, 1751-0465]",International Journal of Information Quality,[3801],,,,,,,
[0747-5632],,,Computers in Human Behavior,"MIS,KM",,,,,
[1046-1469],Journal of the Transportation Research Forum,[3509],,,,,,,
[1093-7099],Advancing Women in Leadership,[3507],,,,,,,
[0743-2348],American Business Review,"[3503, 3507]",,,,,,,
[1090-5693],New York Economic Review,"[3801, 3802, 3803]",,,,,,,
"[0001-4575, 1879-2057]",,,,,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,[TRANSPORTATION],,
[1306-6730],,,,,Eskisehir Osmangazi Universitesi IIBF Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences,ESKISEH OSMAN UNIV I,[ECONOMICS],,
"[2314-7202, 2314-7210]",,,,,Future Business Journal,FUTUR BUS J,[BUSINESS],,
[1550-7793],E-Business Review,[3801],,,,,,,
"[2168-0566, 2168-0582]",,,,,Transportmetrica B-Transport Dynamics,TRANSPORTMETRICA B,[TRANSPORTATION],,
[0023-6977],Labour Law Journal,[35],,,,,,,
"[0274-9696, 0276-721X]",Cost Engineering (Morgantown),[3507],,,,,,,
[0140-2382],,,West European Politics,Sociology,,,,,
[1089-2699],,,Group Dynamics,Gen & Strat,,,,,
"[2007-1582, 2007-3682]",,,,,Revista Ecorfan,REV ECORFAN,[BUSINESS],,
[2587-232X],,,,,Turkish Journal of Islamic Economics-TUJISE,TURK J ISLAMIC ECON,[ECONOMICS],,
[1360-2438],"Discussion Paper in Economics of the University of Nottingham, School of Economics","[3801, 3802, 3803]",,,,,,,
[0972-9496],The Global Journal of Finance and Economics,[3502],,,,,,,
[1852-7175],,,,,Revista de Transporte y Territorio,REV TRANSP TERRIT,[TRANSPORTATION],,
[1387-3326],,,Information Systems Frontiers,"MIS,KM",,,,,
[0018-9286],,,IEEE Transactions on Automatic Control,"MIS,KM",,,,,
"[2256-0742, 2256-0963]",,,,,Baltic Journal of Economic Studies,BALT J ECON STUD,[ECONOMICS],,
"[1753-1446, 1753-1454]",International Journal of Services Sciences,"[3507, 3509]",,,,,,,
"[1474-2780, 2044-3765]",Organisational and Social Dynamics,"[3505, 3507]",,,,,,,
"[2424-7863, 2424-7944]",,,,,International Journal of Financial Engineering,INT J FINANC ENG,"['BUSINESS, FINANCE']",,
[2708-3209],,,,,Retail and Marketing Review,RETAIL MARK REV,[BUSINESS],,
[2326-0297],Business and Management Horizons,[3507],,,,,,,
"[1677-9479, 2177-6652]",,,,,Revista Gestao & Tecnologia-Journal of Management and Technology,REV GEST TECNOL,[MANAGEMENT],,
[1834-8777],Middle East Journal of Business,[35],,,,,,,
"[0287-5306, 0288-8432, 1348-7787]",Monetary and Economic Studies,"[3502, 3801]",,,,,,,
[2217-9739],,,,,International Review,INT REV,[ECONOMICS],,
"[0973-4619, 0976-1888]",International Journal of Global Business and Competitiveness,"[3507, 3509]",,,,,,,
"[1567-7133, 1567-7141]",European Journal of Transport and Infrastructure Research,[3509],,,,,,,
[1777-5701],Sociologie du Travail,"[3505, 3507]",,,,,,,
"[1916-9833, 1916-9841]",Rotman International Journal of Pension Management,"[3502, 3802]",,,,,,,
[0454-1111],Kobe University Economic Review,"[3801, 3802, 3803]",,,,,,,
"[2194-0061, 2194-007X]",Global Business Perspectives,[3507],,,,,,,
"[1807-5436, 2446-6875]",,,,,Gestao e Desenvolvimento,GEST DESENVOLV,[BUSINESS],,
"[1412-2073, 2722-2748]",ASEAN Journal on Hospitality and Tourism,[3508],,,,,,,
"[0327-4063, 1851-3735]","Ciclos: en la historia, la economia y la sociedad",[3801],,,,,,,
[2165-3755],Journal of Forensic and Investigative Accounting,[3501],,,,,,,
[0092-5853],,,American Journal of Political Science,Sociology,,,,,
"[1918-719X, 1918-7203]",International Journal of Marketing Studies,[3506],,,,,,,
[1527-5426],Journal of Finance Case Research,[3502],,,,,,,
[1948-5506],,,Social Psychological and Personality Science,Psychology,,,,,
[1089-327X],Corporate Finance Review,"[3501, 3502]",,,,,,,
"[0100-0551, 2237-2091]",Pesquisa e Planejamento Economico,"[3801, 3802, 3803]",,,,,,,
"[1751-0589, 1751-0597]",International Journal of Applied Systemic Studies,"[3503, 3507]",,,,,,,
"[0943-0180, 2366-6161]",Homo Oeconomicus,"[3801, 3802, 3803]",,,Homo Oeconomicus-Journal of Behavioral and Institutional Economics,HOMO OECON,[ECONOMICS],,
"[0263-2772, 1758-7131]",,,,,Facilities,FACILITIES,[MANAGEMENT],,
"[1753-0806, 1753-0814]",,,,,International Journal of Indian Culture and Business Management,INT J INDIAN CULT BU,[BUSINESS],,
"[1469-347X, 1472-1384]",The Marketing Review,[3506],,,,,,,
[0091-1798],,,Annals of Probability,"OR,MS,POM",,,,,
"[0715-3570, 1710-7377]",,,,,Revue Interventions Economiques-Papers in Political Economy,REV INTERV ECON,[ECONOMICS],,
"[2199-6687, 2199-6679]",,,,,Urban Rail Transit,URBAN RAIL TRANSIT,[TRANSPORTATION],,
[1499-691X],Journal of Applied Business and Economics,"[3502, 3801]",,,,,,,
[0898-011X],Review of Futures Markets,"[3502, 3801]",,,,,,,
"[2044-4621, 2073-7122]",Interdisciplinary Journal of Contemporary Research in Business,"[3505, 3507]",,,,,,,
"[2071-1395, 2398-7812]",Asia Pacific Journal of Innovation and Entrepreneurship,[3507],,,Asia Pacific Journal of Innovation and Entrepreneurship,ASIA PAC J INNOV ENT,[BUSINESS],,
[2255-5684],,,,,Gecontec-Revista Internacional de Gestion del Conocimiento y la Tecnologia,GECONTEC,[MANAGEMENT],,
"[1335-4205, 2585-7878]",,,,,Komunikacie - vedecke listy Zilinskej univerzity v Ziline,KOMUN VED LISTY ZIL,[TRANSPORTATION],,
[2168-1007],Academy of Management Discoveries,[3507],Academy of Management Discoveries,Gen & Strat,Academy of Management Discoveries,ACAD MANAG DISCOV,[MANAGEMENT],Academy of Management Discoveries,[1400]
"[0363-7425, 1930-3807]",Academy of Management Review,[3507],Academy of Management Review,Gen & Strat,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,"[MANAGEMENT, BUSINESS]",Academy of Management Review,[1400]
"[0001-4826, 1558-7967]",The Accounting Review,"[3501, 3502]",Accounting Review,F&A,ACCOUNTING REVIEW,ACCOUNT REV,"['BUSINESS, FINANCE']",Accounting Review,"[2000, 1400]"
"[1476-7503, 1741-2617]",,,,,Action Research,ACTION RES-LONDON,[MANAGEMENT],Action Research,[1400]
[2193-7532],,,,,Agricultural and Food Economics,AGR FOOD ECON,[ECONOMICS],Agricultural and Food Economics,[2000]
"[1178-8933, 2463-4522]",Asian Journal of Business Research,[35],,,,,,Asian Journal of Business Research,[1400]
"[1834-2000, 1834-2019]",Australasian Accounting Business and Finance Journal,"[3501, 3502, 3507]",,,Australasian Accounting Business and Finance Journal,AUSTRALAS ACCOUNT BU,"['BUSINESS, FINANCE']","Australasian Accounting, Business and Finance Journal","[2000, 1400]"
"[1441-3582, 1839-3349]",Australasian Marketing Journal,[3506],Australasian Marketing Journal,Marketing,Australasian Marketing Journal,AUSTRALAS MARK J,[BUSINESS],Australasian Marketing Journal,"[2000, 1400]"
"[0309-166X, 1464-3545]",Cambridge Journal of Economics,"[3502, 3801]",Cambridge Journal of Economics,Economics,CAMBRIDGE JOURNAL OF ECONOMICS,CAMB J ECON,[ECONOMICS],Cambridge Journal of Economics,[2000]
"[0888-7233, 1478-3320]",,,,,Comparative Economic Studies,COMP ECON STUD,[ECONOMICS],Comparative Economic Studies,[2000]
"[1472-0701, 1758-6054]",Corporate Governance,[3507],Corporate Governance: The International Journal of Busin,Gen & Strat,Corporate Governance-The International Journal of Business in Society,CORP GOV-INT J BUS S,[BUSINESS],Corporate Governance (Bingley),[1400]
[1936-1270],Current Issues in Auditing,[3501],,,Current Issues in Auditing,CURR ISS AUDIT,"['BUSINESS, FINANCE']",Current Issues in Auditing,[1400]
"[1747-7603, 1368-3500]",,,Current Issues in Tourism,Tourism,,,,Current Issues in Tourism,[1400]
"[0939-3625, 1878-5433]",Economic Systems,"[3502, 3801]",,,Economic Systems,ECON SYST,[ECONOMICS],Economic Systems,[2000]
"[0013-3205, 2299-6184]",,,,,Ekonomista,EKONOMISTA,[ECONOMICS],Ekonomista,[2000]
"[1998-6041, 1998-605X]",Environmental Economics,"[3801, 3802, 3803]",,,Environmental Economics,ENVIRON ECON,[ECONOMICS],Environmental Economics,[2000]
"[2040-7157, 2040-7149]",,,"Equality, Diversity, and Inclusion: An International Review","OS/OB,HRM/IR",Equality Diversity and Inclusion,EQUAL DIVERS INCL,[MANAGEMENT],"Equality, Diversity and Inclusion",[1400]
"[2665-6744, 0123-5923]",,,,,Estudios Gerenciales,ESTUD GERENC,[ECONOMICS],Estudios Gerenciales,"[2000, 1400]"
"[2193-9438, 2193-9446]",,,,,EURO Journal on Decision Processes,EURO J DECIS PROCESS,[MANAGEMENT],EURO Journal on Decision Processes,[1400]
"[1287-1141, 2261-5512]",Finance Controle Strategie,"[3502, 3507]",,,,,,Finance Controle Strategie,[1400]
"[1995-459X, 2312-9972, 2500-2597]",,,,,Foresight and STI Governance,FORESIGHT STI GOV,"[ECONOMICS, MANAGEMENT]",Foresight and STI Governance,"[2000, 1400]"
"[1088-6931, 2384-1648]",Global Business and Finance Review,[3502],,,,,,Global Business and Finance Review,"[2000, 1400]"
"[0018-2702, 1527-1919]",,,History of Political Economy,Economics,HISTORY OF POLITICAL ECONOMY,HIST POLIT ECON,[ECONOMICS],History of Political Economy,[2000]
[2981-0795],,,,,Interdisciplinary Journal of Management Studies,INTERD J MANAGE STUD,[MANAGEMENT],Interdisciplinary Journal of Management Studies,[1400]
"[1018-368X, 1758-9037, 1834-7649]",International Journal of Accounting and Information Management,"[3501, 3502]",,,International Journal of Accounting and Information Management,INT J ACCOUNT INF MA,[MANAGEMENT],International Journal of Accounting and Information Management,[1400]
"[1756-6266, 1756-6274]",,,,,International Journal of Gender and Entrepreneurship,INT J GEND ENTREP,[BUSINESS],International Journal of Gender and Entrepreneurship,"[2000, 1400]"
"[1935-5726, 1935-5734]",,,,,International Journal of Information Systems and Supply Chain Management,INT J INF SYST SUPPL,[MANAGEMENT],International Journal of Information Systems and Supply Chain Management,[1400]
"[0219-0249, 1793-6322]",,,International Journal of Theoretical and Applied Finance,F&A,International Journal of Theoretical and Applied Finance,INT J THEOR APPL FIN,"['BUSINESS, FINANCE']",International Journal of Theoretical and Applied Finance,[2000]
"[1531-5088, 0020-8183]",,,International Organization,Economics,,,,International Organization,[1400]
"[1057-5219, 1873-8079]",International Review of Financial Analysis,"[3501, 3502, 3801]",International Review of Financial Analysis,F&A,International Review of Financial Analysis,INT REV FINANC ANAL,"['BUSINESS, FINANCE']",International Review of Financial Analysis,[2000]
"[0144-8188, 1873-6394]",,,International Review of Law and Economics,Economics,INTERNATIONAL REVIEW OF LAW AND ECONOMICS,INT REV LAW ECON,[ECONOMICS],International Review of Law and Economics,[2000]
"[0969-6016, 1475-3995]",,,International Transactions in Operational Research,"OR,MS,POM",International Transactions in Operational Research,INT T OPER RES,[MANAGEMENT],International Transactions in Operational Research,[1400]
"[1698-6989, 2340-3373]",,,,,Investigaciones de Historia Economica,INVESTIG HIST ECON,[ECONOMICS],Investigaciones de Historia Economica,[2000]
"[1542-0485, 2194-5896]",Journal of Agricultural and Food Industrial Organization,[3801],,,,,,Journal of Agricultural and Food Industrial Organization,"[2000, 1400]"
"[0883-7252, 1099-1255]",Journal of Applied Econometrics,"[3801, 3802]",Journal of Applied Econometrics,Economics,JOURNAL OF APPLIED ECONOMETRICS,J APPL ECONOMET,[ECONOMICS],Journal of Applied Econometrics,[2000]
"[0156-5826, 1839-3675]",,,,,Journal of Australian Political Economy,J AUST POLIT ECON,[ECONOMICS],Journal of Australian Political Economy,[2000]
"[0735-3766, 2158-1592]",Journal of Business Logistics,"[3507, 3509]",Journal of Business Logistics,"OR,MS,POM",Journal of Business Logistics,J BUS LOGIST,[MANAGEMENT],Journal of Business Logistics,[1400]
"[0021-3624, 1946-326X]",Journal of Economic Issues (JEI),"[35, 38]",Journal of Economic Issues,Economics,JOURNAL OF ECONOMIC ISSUES,J ECON ISSUES,[ECONOMICS],Journal of Economic Issues,"[2000, 1400]"
"[0022-0515, 2328-8175]",Journal of Economic Literature,"[3801, 3802, 3803]",Journal of Economic Literature,Economics,JOURNAL OF ECONOMIC LITERATURE,J ECON LIT,[ECONOMICS],Journal of Economic Literature,[2000]
"[0950-0804, 1467-6419]",Journal of Economic Surveys,"[3502, 3801]",Journal of Economic Surveys,Economics,JOURNAL OF ECONOMIC SURVEYS,J ECON SURV,[ECONOMICS],Journal of Economic Surveys,[2000]
"[1859-0020, 2632-5330]",,,,,Journal of Economics and Development,J ECON DEV-VIETNAM,[ECONOMICS],Journal of Economics and Development,"[2000, 1400]"
"[2520-8411, 2520-842X]",,,,,Journal of Economics Race and Policy,J ECON RACE POLICY,[ECONOMICS],"Journal of Economics, Race, and Policy",[2000]
"[1058-0476, 1573-3475]",Journal of Family and Economic Issues,[3801],,,Journal of Family and Economic Issues,J FAM ECON ISS,[ECONOMICS],Journal of Family and Economic Issues,[2000]
"[0920-8550, 1573-0735]",Journal of Financial Services Research,"[3501, 3502]",Journal of Financial Services Research,F&A,JOURNAL OF FINANCIAL SERVICES RESEARCH,J FINANC SERV RES,"['BUSINESS, FINANCE']",Journal of Financial Services Research,"[2000, 1400]"
"[0270-7314, 1096-9934]",Journal of Futures Markets,[3502],Journal of Futures Markets,F&A,JOURNAL OF FUTURES MARKETS,J FUTURES MARKETS,"['BUSINESS, FINANCE']",Journal of Futures Markets,"[2000, 1400]"
"[2049-8799, 2049-8802]",Journal of Global Mobility: The Home of Expatriate Management Research,"[3505, 3507]",Journal of Global Mobility,"OS/OB,HRM/IR",Journal of Global Mobility-The Home of Expatriate Management Research,J GLOB MOBIL,[MANAGEMENT],Journal of Global Mobility,[1400]
"[0883-7570, 1539-0934, 1539-0942]",Journal of Hospital Marketing and Public Relations,[3506],,,,,,Journal of Hospital Marketing and Public Relations,[1400]
"[0022-1996, 1873-0353]",Journal of International Economics,"[3801, 3802, 3803]",Journal of International Economics,Economics,JOURNAL OF INTERNATIONAL ECONOMICS,J INT ECON,[ECONOMICS],Journal of International Economics,[2000]
"[1068-0896, 2168-8613]",The Journal of Investing,[3502],,,Journal of Investing,J INVEST,"['BUSINESS, FINANCE']",Journal of Investing,"[2000, 1400]"
"[0272-6963, 1873-1317]",,,Journal of Operations Management,"OR,MS,POM",JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,[MANAGEMENT],Journal of Operations Management,[1400]
"[0885-3134, 1557-7813]",Journal of Personal Selling and Sales Management,"[3506, 3507]",Journal of Personal Selling and Sales Management,Marketing,Journal of Personal Selling & Sales Management,J PERS SELL SALES M,[BUSINESS],Journal of Personal Selling and Sales Management,[1400]
"[1477-9803, 1053-1858]",,,Journal of Public Administration Research and Theory,PSM,,,,Journal of Public Administration Research and Theory,[1400]
"[1528-008X, 1528-0098]",Journal of Quality Assurance in Hospitality & Tourism,"[3504, 3508]",,,,,,Journal of Quality Assurance in Hospitality and Tourism,[1400]
"[1911-8066, 1911-8074]",Journal of Risk and Financial Management,"[35, 38]",,,,,,Journal of Risk and Financial Management,"[2000, 1400]"
"[0827-6331, 2169-2610]",Journal of Small Business and Entrepreneurship,"[3505, 3507]",,,,,,Journal of Small Business and Entrepreneurship,[1400]
"[1053-5357, 1879-1239, 2214-8043, 2214-8051]",Journal of Behavioral and Experimental Economics,"[3801, 3803]",Journal of Behavioral and Experimental Economics,Economics,Journal of Behavioral and Experimental Economics,J BEHAV EXP ECON,[ECONOMICS],Journal of Socio-Economics,[2000]
"[0888-4773, 1543-270X]",Journal of Sport Management,"[3504, 3506, 3507]",Journal of Sport Management,Gen & Strat,JOURNAL OF SPORT MANAGEMENT,J SPORT MANAGE,[MANAGEMENT],Journal of Sport Management,[1400]
"[2043-0795, 2043-0809]",Journal of Sustainable Finance and Investment,[3502],,,Journal of Sustainable Finance & Investment,J SUSTAIN FINANC INV,"['BUSINESS, FINANCE']",Journal of Sustainable Finance and Investment,"[2000, 1400]"
"[0719-0425, 0716-0046, 0719-0433, 0717-6821]",Latin American Journal of Economics,"[3801, 3802, 3803]",,,,,,Latin American Journal of Economics,[2000]
"[0969-6474, 1758-7905]",The Learning Organization: the international journal of knowledge and organizational learning management,"[3505, 3507]",,,Learning Organization,LEARN ORGAN,[MANAGEMENT],Learning Organization,[1400]
"[0025-2921, 0973-8010, 0973-8029]",,,,,Margin-Journal of Applied Economic Research,MARGIN,[ECONOMICS],Margin,[2000]
"[0103-6351, 1980-5381]",Nova Economia: the journal of the economics department at UFMG,"[3801, 3802, 3803]",,,,,,Nova Economia,[2000]
"[2113-5207, 2269-8450]",,,,,Oeconomia-History Methodology Philosophy,OECONOMIA,[ECONOMICS],OEconomia,[2000]
"[1047-7039, 1526-5455]",Organization Science,"[3505, 3507]",Organization Science,"OS/OB,HRM/IR",ORGANIZATION SCIENCE,ORGAN SCI,[MANAGEMENT],Organization Science,[1400]
"[0305-9049, 1468-0084]",Oxford Bulletin of Economics and Statistics,"[3801, 3802, 3803]",Oxford Bulletin of Economics and Statistics,Economics,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,OXFORD B ECON STAT,[ECONOMICS],Oxford Bulletin of Economics and Statistics,[2000]
"[0301-7036, 2007-8951]",Problemas del Desarrollo: revista latinoamericana de economia,"[3801, 3802, 3803]",,,PROBLEMAS DEL DESARROLLO,PROBL DESARROLLO,[ECONOMICS],Problemas del Desarrollo,[2000]
"[2222-1867, 2222-1875]",Public and Municipal Finance,"[3502, 3507]",,,,,,Public and Municipal Finance,"[2000, 1400]"
"[1469-7688, 1469-7696]",,,Quantitative Finance,F&A,QUANTITATIVE FINANCE,QUANT FINANC,"[ECONOMICS, 'BUSINESS, FINANCE']",Quantitative Finance,[2000]
"[0034-2971, 1782-1509]",Reflets et Perspectives de la Vie Economique,"[3801, 3802, 3803]",,,,,,Reflets et Perspectives de la Vie Economique,[2000]
