,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,entity_type,external_id,filter_key
1,"Nepal, Rabindra",T,HCP,https://openalex.org/A5089150146,authors/A5089150146,Rabindra Nepal,"University of Wollongong, Australia",5584,262,author,https://orcid.org/0000-0001-9378-6206,authorships.author.id
0,"Frattini, Federico",T,HCP,https://openalex.org/A5044315503,authors/A5044315503,Federico Frattini,"Fondazione Eni Enrico Mattei, Italy",11464,246,author,https://orcid.org/0000-0001-5100-3605,authorships.author.id
2,"Gong, Xu",T,HCP,https://openalex.org/A5074838225,authors/A5074838225,Xu Gong,"King University, USA",1544,176,author,https://orcid.org/0000-0001-6383-0667,authorships.author.id
2,"Dong, Xiucheng",T,HCP,https://openalex.org/A5018715180,authors/A5018715180,Xiucheng Dong,"Dalian Ocean University, China",8939,187,author,https://orcid.org/0000-0002-4597-0356,authorships.author.id
0,"Sunde, Uwe",C,Gossen_Prize,https://openalex.org/A5021689391,authors/A5021689391,Uwe Sunde,"Center for Economic and Policy Research, USA",15330,298,author,https://orcid.org/0000-0002-2110-7822,authorships.author.id
5,"Zhou, Guofu",T,HCP,https://openalex.org/A5012239666,authors/A5012239666,Guofu Zhou,"South China Normal University, China",16153,295,author,https://orcid.org/0000-0002-4104-403X,authorships.author.id
0,"Strack, Philipp",C,John_Bates_Clark_Medal,https://openalex.org/A5020332447,authors/A5020332447,Philipp Strack,"Yale University, USA",1779,126,author,https://orcid.org/0000-0002-7960-9243,authorships.author.id
0,"Ringle, Christian M.",T,HCP,https://openalex.org/A5087109003,authors/A5087109003,Christian M. Ringle,"Universität Hamburg, Germany",188876,368,author,https://orcid.org/0000-0002-7027-8804,authorships.author.id
6,"Fisher, Greg",T,HCP,https://openalex.org/A5101462655,authors/A5101462655,Greg Fisher,"Indiana University Bloomington, USA",5600,143,author,https://orcid.org/0000-0001-5773-9947,authorships.author.id
0,"Aguilera, Ruth V.",T,HCP,https://openalex.org/A5085797169,authors/A5085797169,Ruth V. Aguilera,"Northeastern University, USA",25140,264,author,https://orcid.org/0000-0002-1144-1499,authorships.author.id
