unit_idx,unit_type,name,issn,field_eb,country_code,a_p,v_EBAX,rank_EBAX,v_E,rank_E,v_B,rank_B,v_A,rank_A,v_X,rank_X,v_eps1,rank_eps1,ext_balance
161389873,source,International Journal of Law and Management,1754-243X,B,,156,0.219395,1033,,580,0.247006,523,,127,,54,0.663779,545,0.133603
177144353,institution,Panteion University,,,GR,55.0286,0.611699,1034,0.454629,1028,1.05775,542,0.177933,1435,,1658,0.898222,1073,0.237143
4210187131,source,South East European Journal of Economics and Business,2233-1999,E,,76,0.219148,1034,0.175223,431,,779,,127,,54,0.318602,1009,-0.1
746986,institution,Halmstad University,,,SE,47.7445,0.61082,1035,0.315986,1364,0.677608,934,,1743,1.35208,396,1.0083,835,0.344358
120011570,source,Global Journal of Emerging Market Economies,0974-9101,E,,78,0.218648,1035,0.191963,414,,779,,127,,54,0.343946,972,0.0682493
204553293,institution,"China University of Petroleum, Beijing",,,CN,79.3442,0.610632,1036,0.688966,658,0.704601,901,0.791036,674,0.946419,765,1.01738,818,0.131236
140389752,source,Revista de Economía Mundial,1576-0162,E,,187,0.218437,1036,0.0943064,476,,779,,127,,54,0.204343,1197,0.211155
2738076829,source,Cogent Business & Management,2331-1975,B,,1912,0.21453,1037,,580,0.196251,549,,127,,54,0.667941,541,-0.157852
169090423,institution,Tunghai University,,,TW,47.6191,0.610505,1037,0.515023,916,0.777997,809,0.563049,883,0.668075,1007,0.701649,1466,0.268188
4210216953,source,International Journal of Economic Policy Studies,1881-4387,E,,79,0.21419,1038,0.202848,404,,779,,127,,54,0.309022,1020,0.198413
