,Research_Profile,author_id,works_count,display_name,ACR,PUB,CIT,HCP,sum,coc,score,Group,Class
136,"Xiu, Dacheng",https://openalex.org/A5050253426,99,Dacheng Xiu,S12,21,1934,3,1092.125894353979,52.00599496923711,40.2,C,SFI BEST PAPER AWARD
137,"Farboodi, Maryan",,0,,S07,8,183,0,408.4607204662005,51.05759005827506,39.8,C,SFI BEST PAPER AWARD
138,"Sussman, Abigail B.",https://openalex.org/A5027438856,95,Abigail B. Sussman,MP6,11,689,1,555.4281841797092,50.49347128906447,39.6,C,Moskowitz Prize
139,"Blanchard, Olivier",https://openalex.org/A5022245853,34,Olivier Blanchard,B10,14,916,0,678.9687531920856,48.49776808514897,38.8,C,John Von Neumann Award
140,"Tian, Xuan",https://openalex.org/A5103000178,50,Xuan Tian,H02,26,3163,7,1239.495004755522,47.67288479828931,38.5,T,HCP
141,"Strack, Philipp",https://openalex.org/A5020332447,126,Philipp Strack,A36,34,574,0,1599.155725277778,47.03399191993464,38.2,C,John_Bates_Clark_Medal
142,"Rogerson, Richard",https://openalex.org/A5047967901,295,Richard Rogerson,A43,19,405,0,872.4593017712843,45.91891061954128,37.7,C,R._K._Cho_Economics_Prize
143,"Aguinis, Herman",https://openalex.org/A5067660877,353,Herman Aguinis,Y15,54,4634,6,2477.351228442114,45.87687460077988,37.7,T,HCP
144,"Teece, David J.",https://openalex.org/A5028336290,8,David J. Teece,B23,26,4974,6,1185.782631540682,45.60702429002622,37.6,T,HCP
145,"Serafeim, George",https://openalex.org/A5006610838,272,George Serafeim,B18,25,3184,4,1123.497434040404,44.93989736161616,37.3,T,HCP
146,"Martin, Alberto",https://openalex.org/A5027612338,1069,Alberto Martini,A103,11,255,0,493.7974383116883,44.89067621015349,37.3,C,ERC
147,"List, John A.",https://openalex.org/A5083530241,887,John A. List,A46,61,2414,2,2691.739980372683,44.12688492414235,37.0,C,R._K._Cho_Economics_Prize
148,"Shepherd, Dean A.",https://openalex.org/A5011084627,489,Dean A. Shepherd,B19,63,4679,2,2729.587216950827,43.3267812214417,36.7,T,HCP
149,"Shepherd, Dean A.",https://openalex.org/A5011084627,489,Dean A. Shepherd,A62,67,4850,4,2853.899710940171,42.5955180737339,36.4,C,Several awards
150,"Mukoyama, Toshihiko",https://openalex.org/A5022573826,98,Toshihiko Mukoyama,A51,15,236,0,617.3079986904762,41.15386657936508,35.7,C,Nakahara_Prize
151,"Tertilt, Michele",https://openalex.org/A5042157664,114,Michèle Tertilt,A69,9,288,0,358.4677943972694,39.82975493302993,35.2,C,Gossen_Prize
152,"Roth, Alvin E.",https://openalex.org/A5075977298,468,Alvin E. Roth,A20,9,264,0,351.9625944139194,39.10695493487994,34.8,C,Nobel Prize
153,"Minor, Dylan",https://openalex.org/A5023658727,61,Dylan Minor,MP9,7,654,2,268.4819651984127,38.3545664569161,34.5,C,Moskowitz Prize
154,"Klingler, Sven",https://openalex.org/A5067818890,143,Angelo Ranaldo,S15,6,94,0,229.32541251443,38.22090208573834,34.4,C,SFI BEST PAPER AWARD
155,"Palmatier, Robert W.",https://openalex.org/A5110487435,178,Robert W. Palmatier,Y07,41,3436,7,1519.952204125597,37.07200497867309,33.9,T,HCP
156,"Sundaresan, Suresh",https://openalex.org/A5083714704,125,Suresh Sundaresan,S16,7,145,0,256.2676303679654,36.60966148113791,33.7,C,SFI BEST PAPER AWARD
157,"Haenlein, Michael",https://openalex.org/A5002909072,89,Michael Haenlein,Y42,24,5214,5,858.459910984571,35.76916295769046,33.3,T,HCP
158,"He, Guojun",https://openalex.org/A5111562659,49,Guojun He,Z84,18,2548,8,642.7729420288044,35.70960789048914,33.3,T,HCP
159,"Loualiche, Erik",https://openalex.org/A5033873901,31,Erik Loualiche,S04,6,110,0,211.817111547619,35.30285192460317,33.1,C,SFI BEST PAPER AWARD
160,"Kumar, V.",https://openalex.org/A5009529198,206,Challa V. Kumar,Y14,58,5782,6,2002.221220601066,34.52105552760458,32.7,T,HVP
161,"Bhalotra, Sonia",https://openalex.org/A5004235086,371,Sonia Bhalotra,A21,20,464,0,690.3995903607504,34.51997951803752,32.7,C,ERC
162,"Wright, Mike",https://openalex.org/A5076562729,20,Mike Wright,B26,69,5409,4,2333.224565541403,33.81484877596236,32.4,T,HCP
163,"Che, Yeon-Koo",https://openalex.org/A5060447177,205,Yeon‐Koo Che,A37,20,391,0,674.7447807276058,33.73723903638029,32.4,C,R._K._Cho_Economics_Prize
164,"Lu, Yi",https://openalex.org/A5071892737,292,Ellen Yi–Luen,Z95,16,3275,6,538.555745930736,33.659734120671,32.3,T,HCP
165,"Bauer, Rob",https://openalex.org/A5051441410,278,Dariusz Wójcik,MP17,11,788,1,364.0817064391164,33.09833694901059,32.0,C,Moskowitz Prize
